Key,en,es,ar,fr,hi
All Users,All Users,Todos los usuarios,كافة المستخدمين,Tous les utilisateurs,सभी उपयोगकर्ता
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs,उपयोगकर्ताओं को ईमेल करें
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis,प्रतिबंधित उपयोगकर्ता
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent,धन शेष जोड़ें
My Flutterwave Balance,My Flutterwave Balance,Mi saldo de Flutterwave,رصيد Flutterwave الخاص بي,Mon solde Flutterwave,मेरा स्पंदन तरंग संतुलन
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Nombre total d'utilisateurs,कुल उपयोगकर्ता
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال,En attente d'ajouter de l'argent,लंबित पैसा जोड़ें
Total User,Total User,Usuario total,إجمالي المستخدم,Utilisateur total,कुल उपयोगकर्ता
Happy User,Happy User,Usuario feliz,مستخدم سعيد,Utilisateur satisfait,खुश उपयोगकर्ता
Service,Service,Servicio,خدمة,Service,सेवा
No Virtual Card Created!,No Virtual Card Created!,¡No se ha creado ninguna tarjeta virtual!,لم يتم إنشاء بطاقة افتراضية!,Aucune carte virtuelle créée !,कोई वर्चुअल कार्ड नहीं बनाया गया!
Announcement,Announcement,Anuncio,إعلان,Annonce,घोषणा
Transfer Money Preview,Transfer Money Preview,Vista previa de transferencia de dinero,معاينة تحويل الأموال,Aperçu du transfert d'argent,धन हस्तांतरण पूर्वावलोकन
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible,उपलब्ध शेष राशि
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent,पैसे निकाले
Withdraw Money Preview,Withdraw Money Preview,Vista previa de retiro de dinero,سحب الأموال معاينة,Aperçu du retrait d'argent,धन पूर्वावलोकन निकालें
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك,Informations KYC,केवाईसी सूचना
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك,Vos informations KYC sont vérifiées,आपकी केवाईसी जानकारी सत्यापित है
How can we help you,How can we help you,¿Cómo podemos ayudarte?,كيف يمكننا مساعدتك,Comment pouvons-nous vous aider,हम आपकी कैसे मदद कर सकते हैं
Transfer Money Log,Transfer Money Log,Registro de transferencia de dinero,سجل تحويل الأموال,Journal de transfert d'argent,मनी ट्रांसफर लॉग
Add New,Add New,Agregar nuevo,أضف جديد,Ajouter un nouveau,नया जोड़ो
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.,आपकी केवाईसी जानकारी अस्वीकार कर दी गई है.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.,कृपया वैध डेटा के साथ अपनी केवाईसी जानकारी जमा करें।
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC,Vérification KYC,केवाईसी सत्यापन
Read More,Read More,Leer más,اقرأ المزيد,En savoir plus,और पढ़ें
Categories,Categories,Categorías,فئات,Catégories,श्रेणियाँ
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة,Messages récents,हाल के पोस्ट
app Name,StripCard,Tarjeta de tira,StripCard,StripCard,स्ट्रिपकार्ड
skip,Skip,Saltar,يتخطى,Sauter,छोडना
sign Out Alert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion,साइन आउट चेतावनी
do You Want,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟,Voulez-vous vous déconnecter de cet appareil ?,क्या आप इस डिवाइस से साइन आउट करना चाहते हैं?
privacy And Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité,गोपनीयता नीति
on Board Title1,Create Unlimited Virtual Cards for Unlimited Usage,Cree tarjetas virtuales ilimitadas para uso ilimitado,إنشاء بطاقات افتراضية غير محدودة لاستخدام غير محدود,Créez des cartes virtuelles illimitées pour une utilisation illimitée,असीमित उपयोग के लिए असीमित वर्चुअल कार्ड बनाएं
signin Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté,लॉग इन करें और जुड़े रहें
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने वित्त से जुड़े रहें।
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxx xxx,xxx xxxx xxx,क्सक्सक्स क्सक्सक्स क्सक्सक्स
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone,फ़ोन नंबर
forgot Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié,अपना भूला हुआ पासवर्ड रीसेट करें
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter,दाखिल करना
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire,साइन अप करें
have Account,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?,क्या आपके पास खाता नहीं है?
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपका पासवर्ड सुरक्षित रूप से रीसेट करने के लिए आवश्यक चरणों में आपका मार्गदर्शन करता है।
